Timepoint,No,No2,Family,Cone,Cross,popcross,Mom,Dad,RegionCross2,RegionCross,Breed,StartPos,Rack,DevicePos,DeviceNo,PlugPosition,IndID,Area
T0,1192,312,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,K9,9,8,262,3,9.8.3,NA
T0,1193,313,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,I14,9,9,17,1,9.9.1.1,NA
T0,1194,313,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,I14,9,9,17,1,9.9.1.2,NA
T0,1195,313,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,I14,9,9,17,1,9.9.1.3,NA
T0,1196,313,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,I14,9,9,17,1,9.9.1.4,NA
T0,1197,314,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,B5,9,9,17,2,9.9.2.1,1.158
T0,1198,314,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,B5,9,9,17,2,9.9.2.2,1.432
T0,1199,314,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,B5,9,9,17,2,9.9.2.3,NA
T0,1200,314,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,B5,9,9,17,2,9.9.2.4,1.27
T0,1201,314,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,B5,9,9,17,2,9.9.2.5,NA
T0,1202,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,17,3,9.9.3,NA
T0,1203,316,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G2,9,10,170,1,9.10.1.1,1.482
T0,1204,316,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G2,9,10,170,1,9.10.1.2,1.843
T0,1205,316,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G2,9,10,170,1,9.10.1.3,1.208
T0,1206,316,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G2,9,10,170,1,9.10.1.4,1.594
T0,1207,316,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G2,9,10,170,1,9.10.1.5,1.768
T0,1208,316,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G2,9,10,170,1,9.10.1.6,2.266
T0,1209,316,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G2,9,10,170,1,9.10.1.7,3.462
T0,1210,316,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G2,9,10,170,1,9.10.1.8,1.992
T0,1211,316,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G2,9,10,170,1,9.10.1.9,2.117
T0,1212,316,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G2,9,10,170,1,9.10.1.10,1.395
T0,1213,316,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G2,9,10,170,1,9.10.1.11,1.893
T0,1214,316,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G2,9,10,170,1,9.10.1.12,2.092
T0,1215,316,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G2,9,10,170,1,9.10.1.13,3.561
T0,1216,316,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G2,9,10,170,1,9.10.1.14,1.494
T0,1217,317,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,C9,9,10,170,2,9.10.2,NA
T0,1218,318,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G3,9,10,170,3,9.10.3.1,2.515
T0,1219,318,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G3,9,10,170,3,9.10.3.2,1.743
T0,1220,318,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G3,9,10,170,3,9.10.3.3,1.432
T0,1221,318,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G3,9,10,170,3,9.10.3.4,1.781
T0,1222,318,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G3,9,10,170,3,9.10.3.5,1.806
T0,1223,318,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G3,9,10,170,3,9.10.3.6,1.27
T0,1224,318,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G3,9,10,170,3,9.10.3.7,3.063
T0,1225,318,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G3,9,10,170,3,9.10.3.8,0.623
T0,1226,318,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G3,9,10,170,3,9.10.3.9,2.329
T0,1227,318,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G3,9,10,170,3,9.10.3.10,2.005
T0,1228,318,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G3,9,10,170,3,9.10.3.11,1.171
T0,1229,318,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G3,9,10,170,3,9.10.3.12,1.943
T0,1230,318,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G3,9,10,170,3,9.10.3.13,1.768
T0,1231,318,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G3,9,10,170,3,9.10.3.14,2.304
T0,1232,318,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G3,9,10,170,3,9.10.3.15,1.93
T0,1233,318,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G3,9,10,170,3,9.10.3.16,1.631
T0,1234,319,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,B2,9,11,195,1,9.11.1,NA
T0,1235,320,HF80,C86,Martin11xDavies15,MAxDA,Martin11,Davies15,NorthxCentral,Hybrid,Hybrid,A11,9,11,195,2,9.11.2.1,1.652
T0,1236,320,HF80,C86,Martin11xDavies15,MAxDA,Martin11,Davies15,NorthxCentral,Hybrid,Hybrid,A11,9,11,195,2,9.11.2.2,0.917
T0,1237,321,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,C10,9,11,195,3,9.11.3.1,1.9
