No,No2,Family,Cone,Cross,popcross,Mom,Dad,RegionCross2,RegionCross,Breed,StartPos,Rack,DevicePos,DeviceNo,PlugPosition,IndID,ColEnd,ColEndCor,GreyCorrectionScore,GreyCorrectionScoreDif
104,30,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A11,1,10,58,3,1.10.3.4,110.876,102.086,164,-8.79
105,30,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A11,1,10,58,3,1.10.3.5,116.595,107.805,164,-8.79
106,30,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A11,1,10,58,3,1.10.3.6,118.547,109.757,164,-8.79
107,30,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A11,1,10,58,3,1.10.3.7,131.473,122.683,164,-8.79
108,30,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A11,1,10,58,3,1.10.3.8,120.115,111.325,164,-8.79
109,30,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A11,1,10,58,3,1.10.3.9,127.777,118.987,164,-8.79
110,30,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A11,1,10,58,3,1.10.3.10,137.081,128.291,164,-8.79
111,30,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A11,1,10,58,3,1.10.3.11,123.132,114.342,164,-8.79
112,31,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,A13,1,11,101,1,1.11.1,NA,NA,174,1.21
113,32,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A10,1,11,101,2,1.11.2.1,114.184,115.394,174,1.21
114,33,HF80,C86,Martin11xDavies15,MAxDA,Martin11,Davies15,NorthxCentral,Hybrid,Hybrid,A2,1,11,101,3,1.11.3.1,95.551,96.761,174,1.21
115,34,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,A15,1,12,93,1,1.12.1,NA,NA,165,-7.79
116,35,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,G1,1,12,93,2,1.12.2,NA,NA,165,-7.79
117,36,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,I8,1,12,93,3,1.12.3.1,117.759,109.969,165,-7.79
118,36,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,I8,1,12,93,3,1.12.3.2,120.206,112.416,165,-7.79
119,37,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,A10,2,1,85,1,2.1.1,NA,NA,183,10.21
120,38,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,B15,2,1,85,2,2.1.2.1,120.038,130.248,183,10.21
121,39,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,H15,2,1,85,3,2.1.3.1,116.241,126.451,183,10.21
122,40,HF80,C86,Martin11xDavies15,MAxDA,Martin11,Davies15,NorthxCentral,Hybrid,Hybrid,D14,2,2,83,1,2.2.1.1,148.78,158.99,183,10.21
123,40,HF80,C86,Martin11xDavies15,MAxDA,Martin11,Davies15,NorthxCentral,Hybrid,Hybrid,D14,2,2,83,1,2.2.1.2,124,134.21,183,10.21
124,41,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G1,2,2,83,2,2.2.2.1,151.019,161.229,183,10.21
125,41,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G1,2,2,83,2,2.2.2.2,138.143,148.353,183,10.21
126,41,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G1,2,2,83,2,2.2.2.3,107.477,117.687,183,10.21
127,41,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G1,2,2,83,2,2.2.2.4,115.722,125.932,183,10.21
128,41,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G1,2,2,83,2,2.2.2.5,121.725,131.935,183,10.21
129,41,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G1,2,2,83,2,2.2.2.6,137.246,147.456,183,10.21
130,41,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G1,2,2,83,2,2.2.2.7,124.691,134.901,183,10.21
131,41,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G1,2,2,83,2,2.2.2.8,116.902,127.112,183,10.21
132,41,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,G1,2,2,83,2,2.2.2.9,135.408,145.618,183,10.21
133,42,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,C15,2,2,83,3,2.2.3.1,108.843,119.053,183,10.21
134,42,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,C15,2,2,83,3,2.2.3.2,113.281,123.491,183,10.21
135,42,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,C15,2,2,83,3,2.2.3.3,111.682,121.892,183,10.21
136,42,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,C15,2,2,83,3,2.2.3.4,119.023,129.233,183,10.21
137,42,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,C15,2,2,83,3,2.2.3.5,128.61,138.82,183,10.21
138,43,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,E6,2,3,265,1,2.3.1,NA,NA,175,2.21
139,44,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,C14,2,3,265,2,2.3.2.1,126.674,128.884,175,2.21
140,44,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,C14,2,3,265,2,2.3.2.2,120.871,123.081,175,2.21
141,45,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,J8,2,3,265,3,2.3.3.1,169.984,172.194,175,2.21
142,46,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,B3,2,4,81,1,2.4.1.1,124.126,129.336,178,5.21
143,47,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B1,2,4,81,2,2.4.2.1,127.503,132.713,178,5.21
144,48,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,B15,2,4,81,3,2.4.3.1,142.502,147.712,178,5.21
145,49,HF84,C63,Davies16xDavies18,DAxDA,Davies16,Davies18,CentralxCentral,CentralxCentral,CentralPure,K15,2,5,78,1,2.5.1,NA,NA,177,4.21
